,Area (SQFT),Unit Price ($ PSF),Floor,Remaining Tenure,Is Freehold,walk_distance,Condo_Apartment,Landed,East Region,North East Region,North Region,West Region,Resale,Sub Sale
60071,527.44,1699,5,98,0,576.0,1,0,0,0,0,0,0,0
60072,2098.98,1621,19,98,0,592.0,1,0,0,0,0,0,0,0
60073,527.44,1670,7,98,0,486.0,1,0,0,0,0,0,0,0
60074,1001.05,1687,10,0,1,782.0,1,0,0,0,0,0,0,0
60075,624.31,1517,5,98,0,1270.0,1,0,0,0,0,0,0,0
60076,527.44,1706,3,98,0,595.0,1,0,0,0,0,0,0,0
60077,1140.98,1677,16,98,0,576.0,1,0,0,0,0,0,0,0
60078,1420.85,1636,9,98,0,541.0,1,0,0,0,0,0,0,0
60079,1011.82,1678,8,98,0,541.0,1,0,0,0,0,0,0,0
60080,764.24,1664,8,98,0,576.0,1,0,0,0,0,0,0,0
60081,904.18,1691,13,98,0,493.0,1,0,0,0,0,0,0,0
60082,764.24,1632,3,98,0,486.0,1,0,0,0,0,0,0,0
60083,775.01,1619,3,98,0,493.0,1,0,0,0,0,0,0,0
60084,904.18,1733,18,98,0,486.0,1,0,0,0,0,0,0,0
60085,527.44,1558,2,98,0,486.0,1,0,0,0,0,0,0,0
60086,1259.39,1732,13,98,0,592.0,1,0,0,0,0,0,0,0
60087,904.18,1687,12,98,0,486.0,1,0,0,0,0,0,0,0
60088,1001.05,1662,7,0,1,782.0,1,0,0,0,0,0,0,0
60089,775.01,1765,20,98,0,493.0,1,0,0,0,0,0,0,0
60090,1054.87,1678,16,98,0,541.0,1,0,0,0,0,0,0,0
60091,1140.98,1629,7,98,0,576.0,1,0,0,0,0,0,0,0
60092,764.24,1645,5,98,0,674.0,1,0,0,0,0,0,0,0
60093,1259.39,1448,1,98,0,674.0,1,0,0,0,0,0,0,0
60094,430.56,1651,9,0,1,782.0,1,0,0,0,0,0,0,0
60095,764.24,1726,8,98,0,595.0,1,0,0,0,0,0,0,0
60096,904.18,1744,20,98,0,493.0,1,0,0,0,0,0,0,0
60097,775.01,1650,13,98,0,493.0,1,0,0,0,0,0,0,0
60098,775.01,1683,17,98,0,493.0,1,0,0,0,0,0,0,0
60099,645.84,1572,3,98,0,674.0,1,0,0,0,0,0,0,0
60100,904.18,1693,13,98,0,576.0,1,0,0,0,0,0,0,0
60101,1259.39,1607,7,98,0,674.0,1,0,0,0,0,0,0,0
60102,1420.85,1630,8,98,0,541.0,1,0,0,0,0,0,0,0
60103,1259.39,1613,8,98,0,674.0,1,0,0,0,0,0,0,0
60104,645.84,1726,17,98,0,674.0,1,0,0,0,0,0,0,0
60105,764.24,1651,6,98,0,576.0,1,0,0,0,0,0,0,0
60106,527.44,1676,4,98,0,576.0,1,0,0,0,0,0,0,0
60107,430.56,1672,11,0,1,782.0,1,0,0,0,0,0,0,0
60108,656.6,1745,12,0,1,782.0,1,0,0,0,0,0,0,0
60109,645.84,1695,10,98,0,541.0,1,0,0,0,0,0,0,0
60110,1259.39,1602,6,98,0,674.0,1,0,0,0,0,0,0,0
60111,1259.39,1487,3,98,0,674.0,1,0,0,0,0,0,0,0
60112,527.44,1595,3,98,0,486.0,1,0,0,0,0,0,0,0
60113,904.18,1660,8,98,0,486.0,1,0,0,0,0,0,0,0
60114,979.52,1690,24,97,0,462.0,1,0,0,0,0,0,0,0
60115,775.01,1715,22,98,0,493.0,1,0,0,0,0,0,0,0
60116,1140.98,1650,11,98,0,576.0,1,0,0,0,0,0,0,0
60117,904.18,1647,6,98,0,486.0,1,0,0,0,0,0,0,0
60118,775.01,1675,6,98,0,493.0,1,0,0,0,0,0,0,0
60119,775.01,1739,16,98,0,493.0,1,0,0,0,0,0,0,0
60120,527.44,1661,2,98,0,576.0,1,0,0,0,0,0,0,0
60121,775.01,1702,20,98,0,493.0,1,0,0,0,0,0,0,0
60122,1151.75,1641,15,98,0,576.0,1,0,0,0,0,0,0,0
