Area (SQFT),Unit Price ($ PSF),Type of Sale,Property Type,Planning Region,Floor,Remaining Tenure,Is Freehold,walk_distance
613.55,1385,Resale,Condominium,North East Region,9,90,0,497.0
1453.14,920,Resale,Apartment,East Region,0,0,1,917.0
1679.18,1638,Resale,Condominium,Central Region,4,0,1,1558.0
602.78,1607,New Sale,Apartment,West Region,31,96,0,2788.0
861.12,1311,New Sale,Condominium,North East Region,2,94,0,1047.0
914.94,2544,New Sale,Apartment,Central Region,15,0,1,740.0
581.26,1351,New Sale,Condominium,East Region,7,96,0,1482.0
1582.31,2442,Resale,Apartment,Central Region,16,89,0,182.0
968.76,1416,New Sale,Condominium,North East Region,19,94,0,358.0
839.59,2716,New Sale,Apartment,Central Region,5,96,0,1647.0
1140.98,1880,New Sale,Condominium,Central Region,8,96,0,568.0
1302.44,1092,New Sale,Executive Condominium,North East Region,14,96,0,522.0
796.54,1701,Resale,Condominium,Central Region,25,91,0,565.0
871.88,1371,New Sale,Condominium,North East Region,19,94,0,1047.0
656.6,1447,Sub Sale,Condominium,Central Region,9,93,0,717.0
785.77,1354,New Sale,Condominium,North East Region,14,94,0,1047.0
742.72,1698,New Sale,Apartment,Central Region,7,96,0,348.0
1065.64,1538,Resale,Condominium,Central Region,2,85,0,2413.0
1216.33,1772,Resale,Condominium,Central Region,13,0,1,2164.0
1334.74,1364,Resale,Condominium,East Region,4,0,1,1225.0
1388.56,922,Resale,Executive Condominium,North East Region,15,90,0,1248.0
1496.2,2780,New Sale,Condominium,Central Region,11,0,1,823.0
1722.24,1178,Resale,Condominium,West Region,7,0,1,1972.0
1162.51,1135,Resale,Condominium,East Region,11,90,0,1640.0
1700.71,1341,Resale,Terrace House,Central Region,0,0,1,249.0
484.38,1233,Resale,Condominium,East Region,4,88,0,1200.0
882.65,1950,New Sale,Condominium,East Region,8,0,1,1045.0
958.0,1602,New Sale,Apartment,Central Region,10,96,0,363.0
1829.88,836,Resale,Condominium,North East Region,9,0,1,2751.0
1280.92,1163,Resale,Condominium,West Region,19,89,0,1168.0
1744.84,974,Resale,Terrace House,North East Region,0,74,0,1156.0
1506.96,1106,New Sale,Executive Condominium,North East Region,5,96,0,468.0
1151.75,1616,New Sale,Apartment,Central Region,1,96,0,348.0
947.23,1214,Resale,Condominium,Central Region,13,0,1,1070.0
484.38,2720,New Sale,Apartment,Central Region,10,96,0,784.0
376.74,1959,Resale,Apartment,Central Region,2,0,1,1396.0
678.13,1740,Resale,Condominium,Central Region,18,91,0,565.0
1646.89,972,Resale,Apartment,East Region,25,55,0,2233.0
667.37,1244,Sub Sale,Apartment,North East Region,17,92,0,231.0
548.96,2459,Resale,Condominium,Central Region,18,0,1,696.0
1033.34,1485,Resale,Condominium,Central Region,3,92,0,612.0
3175.38,1606,Resale,Condominium,Central Region,3,0,1,2013.0
1065.64,1432,New Sale,Apartment,West Region,25,96,0,2783.0
764.24,1715,New Sale,Condominium,Central Region,16,96,0,486.0
1119.46,920,Resale,Condominium,North Region,2,89,0,1178.0
742.72,2558,Resale,Apartment,Central Region,5,57,0,435.0
1259.39,1072,Resale,Apartment,Central Region,8,0,1,891.0
441.32,1473,Resale,Apartment,Central Region,15,0,1,1480.0
1614.6,886,Resale,Terrace House,West Region,0,75,0,1288.0
1614.6,1900,Resale,Terrace House,North East Region,0,0,1,2524.0
505.91,1384,Resale,Apartment,Central Region,16,0,1,850.0
1776.06,3489,New Sale,Apartment,Central Region,11,0,1,636.0
807.3,1592,Resale,Apartment,Central Region,9,83,0,426.0
1151.75,1456,New Sale,Apartment,North East Region,6,96,0,2076.0
688.9,1532,New Sale,Apartment,North East Region,3,95,0,2325.0
678.13,1962,New Sale,Apartment,East Region,21,94,0,2524.0
731.95,2226,Resale,Apartment,Central Region,13,89,0,182.0
1151.75,2963,New Sale,Condominium,Central Region,3,0,1,308.0
1044.11,1197,Resale,Condominium,North East Region,11,89,0,607.0
936.47,1388,Resale,Condominium,Central Region,7,77,0,904.0
1054.87,858,Resale,Condominium,West Region,8,73,0,904.0
2152.8,664,Resale,Condominium,North Region,4,75,0,1193.0
2145.27,1193,Resale,Terrace House,North East Region,0,0,1,3807.0
1313.21,754,Resale,Executive Condominium,North East Region,8,75,0,731.0
1259.39,1592,Resale,Condominium,Central Region,11,75,0,633.0
1140.98,726,Resale,Executive Condominium,North Region,4,82,0,925.0
1657.66,905,Resale,Condominium,Central Region,1,75,0,2867.0
2185.09,1602,Resale,Condominium,Central Region,31,84,0,1094.0
538.2,1078,Resale,Condominium,East Region,6,89,0,1704.0
1044.11,2141,New Sale,Condominium,Central Region,5,96,0,568.0
1700.71,1602,Resale,Condominium,Central Region,5,84,0,1172.0
742.72,2558,Resale,Apartment,Central Region,7,57,0,435.0
753.48,1609,New Sale,Apartment,Central Region,18,96,0,383.0
570.49,2971,New Sale,Apartment,Central Region,16,0,1,1035.0
1280.92,1029,Resale,Condominium,East Region,9,79,0,408.0
1655.5,1631,Resale,Terrace House,Central Region,0,0,1,588.0
559.73,1265,Resale,Condominium,East Region,7,86,0,473.0
1388.56,897,Resale,Condominium,East Region,3,75,0,509.0
1410.08,954,Resale,Condominium,North East Region,8,71,0,1309.0
742.72,1601,Resale,Apartment,Central Region,7,0,1,1396.0
1259.39,993,Resale,Apartment,Central Region,6,73,0,621.0
3500.45,920,Resale,Semi-Detached House,North Region,0,0,1,3817.0
1313.21,1638,New Sale,Apartment,North East Region,8,96,0,389.0
